Headers;Contents
Art. 122. Paserstwo;"§ 1. Kto nabywa mienie, wiedząc o tym, że pochodzi ono z kradzieży lub z przywłaszczenia, lub pomaga do jego zbycia albo w celu osiągnięcia korzyści majątkowej mienie to przyjmuje lub pomaga do jego ukrycia, jeżeli wartość mienia nie przekracza 800 złotych,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Kto nabywa mienie, o którym na podstawie towarzyszących okoliczności powinien i może przypuszczać, że zostało uzyskane za pomocą kradzieży lub przywłaszczenia, lub pomaga do jego zbycia albo w celu osiągnięcia korzyści majątkowej mienie to przyjmuje lub pomaga do jego ukrycia, jeżeli wartość mienia nie przekracza 800 złotych,
podlega karze grzywny albo karze nagany.
§ 3. Usiłowanie wykroczenia określonego w § 1 oraz podżeganie do niego i pomocnictwo są karalne."
Art. 123. Kradzież owoców, warzyw lub kwiatów z cudzego ogrodu;"§ 1. Kto z nienależącego do niego ogrodu bezprawnie zabiera w nieznacznej ilości owoce, warzywa lub kwiaty,
podlega karze grzywny do 250 złotych albo karze nagany.
§ 2. Ściganie następuje na żądanie pokrzywdzonego.
§ 3. W razie popełnienia wykroczenia można orzec nawiązkę do wysokości 50 złotych."
Art. 124. Umyślne niszczenie lub uszkadzanie cudzej rzeczy;"§ 1. Kto cudzą rzecz umyślnie niszczy, uszkadza lub czyni niezdatną do użytku, jeżeli szkoda nie przekracza 800 złotych,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Usiłowanie, podżeganie i pomocnictwo są karalne.
§ 3. Ściganie następuje na żądanie pokrzywdzonego.
§ 4. W razie popełnienia wykroczenia można orzec obowiązek zapłaty równowartości wyrządzonej szkody lub obowiązek przywrócenia do stanu poprzedniego."
Art. 125. Niezawiadomienie o znalezieniu cudzej rzeczy lub przybłąkaniu się cudzego zwierzęcia;"Kto w ciągu dwóch tygodni od dnia znalezienia cudzej rzeczy albo przybłąkania się cudzego zwierzęcia nie zawiadomi o tym organu Policji lub innego organu państwowego albo w inny właściwy sposób nie poszukuje posiadacza,
podlega karze grzywny do 500 złotych albo karze nagany."
Art. 126. Kradzież lub niszczenie cudzej rzeczy o wartości niemajątkowej;"§ 1. Kto zabiera w celu przywłaszczenia, przywłaszcza sobie albo umyślnie niszczy lub uszkadza cudzą rzecz przedstawiającą wartość niemajątkową,
podlega karze grzywny albo karze nagany.
§ 2. Ściganie następuje na żądanie pokrzywdzonego."
Art. 127. Samowolne używanie cudzej rzeczy ruchomej;"§ 1. Kto samowolnie używa cudzej rzeczy ruchomej,
podlega karze grzywny albo nagany.
§ 2. Ściganie następuje na żądanie pokrzywdzonego."
Art. 128. Urządzanie gry hazardowej lub użyczanie do niej środków lub pomieszczenia;"§ 1. Kto w celu osiągnięcia korzyści majątkowej urządza grę hazardową albo użycza do niej środków lub pomieszczenia,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Pieniądze i inne przedmioty służące do gry podlegają przepadkowi, choćby nie stanowiły własności sprawcy."
Art. 129. Bezprawne wyrabianie, posiadanie, nabywanie i dostarczanie wytrychów;"§ 1. Kto:
1) wyrabia, posiada lub nabywa wytrychy, jeżeli nie trudni się zawodem, w którym są one potrzebne,
2) dostarcza wytrychów osobie nietrudniącej się takim zawodem,
3) wyrabia, posiada lub nabywa klucze do cudzego domu, mieszkania lub innego pomieszczenia albo schowania bez zezwolenia osoby uprawnionej lub organu administracji,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Tej samej karze podlega, kto wyrabia, posiada lub nabywa narzędzia przeznaczone do dokonywania kradzieży albo kto dostarcza takich narzędzi innym osobom.
§ 3. Wytrychy, klucze lub narzędzia podlegają przepadkowi, choćby nie stanowiły własności sprawcy."
Art. 130. Wyłączenie stosowania niektórych przepisów ustawy;"§ 1. Przepisów art. 119 kradzież lub przywłaszczenie cudzej rzeczy ruchomej, art. 122 paserstwo i art. 124 umyślne niszczenie lub uszkadzanie cudzej rzeczy nie stosuje się:
1) (uchylony)
2) jeżeli przedmiotem czynu jest broń, amunicja, materiały lub przyrządy wybuchowe.
§ 2. Przepisu art. 119 kradzież lub przywłaszczenie cudzej rzeczy ruchomej nie stosuje się, jeżeli sprawca popełnia kradzież w sposób szczególnie zuchwały lub z włamaniem.
§ 3. Przepisów art. 119 kradzież lub przywłaszczenie cudzej rzeczy ruchomej i art. 120 wyrąb drzewa w lesie w celu przywłaszczenia albo kradzież lub przywłaszczenie drzewa z lasu nie stosuje się, jeżeli sprawca używa gwałtu na osobie albo grozi jego natychmiastowym użyciem, aby utrzymać się w posiadaniu zabranego mienia, a gdy chodzi o zabranie innej osobie mienia w celu przywłaszczenia, także wtedy, gdy sprawca doprowadza człowieka do stanu nieprzytomności lub bezbronności.
§ 4. (uchylony)"
Art. 131. Odpowiedzialność za popełnienie wykroczenia za granicą;Przepisy art. 119 kradzież lub przywłaszczenie cudzej rzeczy ruchomej, art. 122 paserstwo i art. 124 umyślne niszczenie lub uszkadzanie cudzej rzeczy stosuje się również w razie popełnienia wykroczenia za granicą.
Art. 132. Uchylony;
Art. 133. Nabywanie i sprzedaż z zyskiem biletów wstępu na imprezy artystyczne, rozrywkowe lub sportowe;"§ 1. Kto nabywa w celu odprzedaży z zyskiem bilety wstępu na imprezy artystyczne, rozrywkowe lub sportowe albo kto bilety takie sprzedaje z zyskiem,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Usiłowanie oraz podżeganie i pomocnictwo są karalne."
Art. 134. Oszukiwanie nabywcy lub usługobiorcy;"§ 1. Kto przy sprzedaży towaru lub świadczeniu usług oszukuje nabywcę co do ilości, wagi, miary, gatunku, rodzaju lub ceny, jeżeli nabywca poniósł lub mógł ponieść szkodę nieprzekraczającą 100 złotych,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Tej samej karze podlega, kto przy nabyciu produktów rolnych lub hodowlanych oszukuje dostawcę co do ilości, wagi, miary, gatunku lub ceny, jeżeli dostawca poniósł lub mógł ponieść szkodę nieprzekraczającą 100 złotych.
§ 3. Usiłowanie wykroczenia określonego w § 1 lub 2 oraz podżeganie i pomocnictwo są karalne."
Art. 135. Ukrywanie towaru przed nabywcą lub odmowa sprzedaży towaru;"Kto, zajmując się sprzedażą towarów w przedsiębiorstwie handlu detalicznego lub w przedsiębiorstwie gastronomicznym, ukrywa przed nabywcą towar przeznaczony do sprzedaży lub umyślnie bez uzasadnionej przyczyny odmawia sprzedaży takiego towaru,
podlega karze grzywny."
Art. 136. Usuwanie oznaczeń z towarów przeznaczonych do sprzedaży;"§ 1. Kto z towarów przeznaczonych do sprzedaży umyślnie usuwa utrwalone na nich oznaczenie określające ich cenę, termin przydatności do spożycia lub datę produkcji, jakość lub ilość nominalną, gatunek lub pochodzenie,
podlega karze aresztu, ograniczenia wolności albo grzywny.
§ 2. Kto przeznacza do sprzedaży towary z usuniętym trwałym oznaczeniem ich ceny, terminu przydatności do spożycia lub daty produkcji, jakości, gatunku lub pochodzenia albo towary niewłaściwie oznaczone,
podlega karze ograniczenia wolności albo grzywny do 1.500 złotych.
§ 3. Usiłowanie wykroczenia określonego w § 1 oraz podżeganie do niego i pomocnictwo są karalne."
Art. 137. Brak dowodów dostawy lub przyjęcia towarów;"§ 1. (uchylony)
§ 2. Kierownik punktu sprzedaży detalicznej lub zakładu gastronomicznego, który nie ma faktur albo innych dowodów dostawy lub przyjęcia na towary przechowywane w punkcie sprzedaży detalicznej lub zakładzie gastronomicznym,
podlega karze aresztu albo grzywny."
Art. 138. Pobieranie zapłaty wyższej od obowiązującej za dane świadczenie lub odmawianie świadczenia przez zobowiązanego;"Kto, zajmując się zawodowo świadczeniem usług, żąda i pobiera za świadczenie zapłatę wyższą od obowiązującej albo umyślnie bez uzasadnionej przyczyny odmawia świadczenia, do którego jest obowiązany,
podlega karze grzywny.
(Art. 138 pobieranie zapłaty wyższej od obowiązującej za dane świadczenie lub odmawianie świadczenia przez zobowiązanego - w części zawierającej słowa „albo umyślnie bez uzasadnionej przyczyny odmawia świadczenia, do którego jest obowiązany – został uznany za niezgodny z Konstytucją RP wyrokiem Trybunału Konstytucyjnego z dnia 26 czerwca 2019 r. (sygn. akt K 16/17) i z dniem 4 lipca 2019 r. utracił moc w tym zakresie (Dz. U. z 2019 r. poz. 1238)"
Art. 138a. Uchylony;
Art. 138b. Niestosowanie się przez zobowiązanego do orzeczenia sądu w przedmiocie stosowania warunków umów.;"§ 1. Kto, będąc zobowiązany na mocy orzeczenia sądu do zaniechania wykorzystywania lub do odwołania zalecenia stosowania ogólnych warunków umów albo wzoru umowy, nie stosuje się do tego obowiązku, zawierając w umowie niedozwolone postanowienia umowne, podlega karze grzywny.
§ 2. Jeżeli orzeczenie sądu, o którym mowa w § 1, dotyczy przedsiębiorcy niebędącego osobą fizyczną, odpowiedzialność przewidzianą w § 1 ponosi osoba kierująca przedsiębiorstwem lub osoba upoważniona do zawierania umów z konsumentami."
Art. 138c. Naruszenie obowiązków przy udzielaniu kredytu konsumenckiego;"§ 1.Kto w zakresie działalności swojego przedsiębiorstwa zawiera z konsumentem umowę o kredyt konsumencki z rażącym naruszeniem wymagań dotyczących informacji przekazywanych konsumentowi przed zawarciem umowy lub treści umowy albo z pominięciem obowiązku doręczenia jej dokumentu,
podlega karze grzywny.
§ 1a. Tej samej karze podlega, kto zawierając z konsumentem umowę o kredyt konsumencki nie dopełnia obowiązku oceny zdolności kredytowej.
§ 2. Kto w reklamach dotyczących kredytu konsumenckiego zawierających dane dotyczące kosztu kredytu konsumenckiego, nie podaje:
1) stopy oprocentowania kredytu wraz z wyodrębnieniem opłat uwzględnianych w całkowitym koszcie kredytu,
2) całkowitej kwoty kredytu,
3) rzeczywistej rocznej stopy oprocentowania,
podlega karze grzywny.
§ 3. Kto przyjmuje od konsumenta czek niezawierający zastrzeżenia „nie na zlecenie” lub innego równoznacznego w celu spełnienia lub zabezpieczenia świadczenia wynikającego z umowy o kredyt konsumencki, podlega karze grzywny.
§ 3a. Kto przyjmuje od konsumenta weksel niezawierający zastrzeżenia „nie na zlecenie” lub innego równoznacznego w celu spełnienia lub zabezpieczenia świadczenia wynikającego z umowy zawartej z konsumentem, podlega karze grzywny.
§ 4. Jeżeli przedsiębiorcą jest podmiot niebędący osobą fizyczną, odpowiedzialność przewidzianą w przepisach § 1–3a ponosi osoba kierująca przedsiębiorstwem lub osoba upoważniona do zawierania umów z konsumentami."
Art. 138d. Wprowadzanie w błąd co do posiadania uprawnień przewodnika górskiego;"§ 1. Kto, podejmując zadania przewodnika górskiego na określonym obszarze górskim wprowadza w błąd co do posiadanych uprawnień, podlega karze ograniczenia wolności albo grzywny.
§ 2. Tej samej karze podlega organizator turystyki lub przedsiębiorca ułatwiający nabywanie powiązanych usług turystycznych, który wprowadza podróżnych w błąd co do uprawnień osób, którym powierza wykonywanie zadań przewodnika górskiego."
Art. 139. Uchylony;
Art. 139a. Naruszenie przepisów o umowie timeshare;"§ 1. Kto w zakresie działalności swojego przedsiębiorstwa:
1) zawiera z konsumentem umowę timeshare, umowę o długoterminowy produkt wakacyjny, umowę pośrednictwa w odsprzedaży timeshare lub długoterminowego produktu wakacyjnego, lub umowę o uczestnictwo w systemie wymiany, bez zachowania właściwych wymogów, dotyczących jej treści lub formy,
2) żąda od konsumenta, z którym zawarł umowę timeshare, umowę o długoterminowy produkt wakacyjny lub umowę o uczestnictwo w systemie wymiany, świadczenia przed upływem określonego w ustawie terminu do odstąpienia od umowy, lub świadczenie takie przed upływem tego terminu od konsumenta przyjmuje,
3) żąda od konsumenta, z którym zawarł umowę pośrednictwa w odsprzedaży timeshare lub długoterminowego produktu wakacyjnego, świadczenia przed rozwiązaniem umowy lub przed doprowadzeniem do nabycia lub zbycia przez konsumenta praw z umowy timeshare lub z umowy o długoterminowy produkt wakacyjny, lub świadczenie takie przed rozwiązaniem umowy lub przed doprowadzeniem do nabycia lub zbycia przez konsumenta praw z umowy timeshare lub z umowy o długoterminowy produkt wakacyjny od konsumenta przyjmuje,
4) żąda od konsumenta, z którym zawarł umowę przedwstępną, zobowiązującą do zawarcia umowy timeshare, umowy o długoterminowy produkt wakacyjny, umowy pośrednictwa w odsprzedaży timeshare lub długoterminowego produktu wakacyjnego, lub umowy o uczestnictwo w systemie wymiany, świadczenia określonego w umowie przedwstępnej przed upływem terminu do odstąpienia od umowy przedwstępnej, lub świadczenie takie przed upływem tego terminu od konsumenta przyjmuje
– podlega karze ograniczenia wolności albo grzywny.
§ 2. Kto zawierając umowę timeshare sprzecznie z treścią nabywanego prawa oświadcza, że przedmiotem umowy jest własność
– podlega karze grzywny.
§ 3. Kto w zakresie działalności swojego przedsiębiorstwa, po upływie określonego w ustawie terminu do odstąpienia od umowy timeshare, umowy o długoterminowy produkt wakacyjny, umowy pośrednictwa w odsprzedaży timeshare lub długoterminowego produktu wakacyjnego lub umowy o uczestnictwo w systemie wymiany, nie przekazuje konsumentowi informacji wymaganych ustawą
– podlega karze grzywny.
§ 4. Karze określonej w § 3 podlega również ten, kto w zakresie działalności swojego przedsiębiorstwa, po upływie określonego w ustawie terminu do odstąpienia od umowy przedwstępnej, zobowiązującej do zawarcia umowy timeshare, umowy o długoterminowy produkt wakacyjny, umowy pośrednictwa w odsprzedaży timeshare lub długoterminowego produktu wakacyjnego, lub umowy o uczestnictwo w systemie wymiany, nie przekazuje konsumentowi informacji wymaganych ustawą."
Art. 139b. Naruszenie przepisów ustawy o prawach konsumenta;Kto w zakresie działalności swojego przedsiębiorstwa zawierając umowę z konsumentem nie spełnia wymagań dotyczących udzielenia informacji lub wydania dokumentu, przewidzianych w przepisach ustawy z dnia 30 maja 2014 r. o prawach konsumenta (Dz. U. z 2020 r. poz. 287, z 2021 r. poz. 2105, z 2022 r. poz. 2337 i 2581 oraz z 2023 r. poz. 1285), podlega karze grzywny.
Art. 139c. Przyjęcie od konsumenta płatności przez upływem terminu do odstąpienia od umowy;"§ 1. Kto w zakresie działalności swojego przedsiębiorstwa przyjmuje od konsumenta płatność przed upływem terminu do odstąpienia od umowy zawartej na odległość lub poza lokalem przedsiębiorstwa, w przypadkach określonych w art. 17a niedopuszczalność przyjęcia przez przedsiębiorcę płatności ustawy z dnia 30 maja 2014 r. o prawach konsumenta, podlega karze grzywny.
§ 2. Jeżeli przedsiębiorcą jest podmiot niebędący osobą fizyczną, odpowiedzialność przewidzianą w § 1 ponosi osoba kierująca przedsiębiorstwem lub osoba upoważniona do zawierania umów z konsumentami."
Art. 140. Dopuszczenie się publicznie nieobyczajnego wybryku;"Kto publicznie dopuszcza się nieobyczajnego wybryku,
podlega karze aresztu, ograniczenia wolności, grzywny do 1.500 złotych albo karze nagany."
Art. 141. Umieszczenie w miejscu publicznym nieobyczajnego ogłoszenia, napisu, rysunku lub używanie słów nieprzyzwoitych;"Kto w miejscu publicznym umieszcza nieprzyzwoite ogłoszenie, napis lub rysunek albo używa słów nieprzyzwoitych,
podlega karze ograniczenia wolności, grzywny do 1.500 złotych albo karze nagany."
Art. 142. Natarczywe proponowanie czynu nierządnego w celu osiągnięcia korzyści majątkowej;"Kto natarczywie, narzucając się lub w inny naruszający porządek publiczny sposób, proponuje innej osobie dokonanie z nią czynu nierządnego, mając na celu uzyskanie korzyści materialnej,
podlega karze aresztu, ograniczenia wolności albo grzywny."
